id,description,category,standard,active
249.67.3.3.10,CRIOCAUTERIZACION DE CUELLO UTERINO (CERVIX),Cirugía,PDSS 10.0,1
250.67.2.0.01,CONIZACION NCOC +,Cirugía,PDSS 10.0,1
251.67.5.1.00,CERCLAJE DE ISTMO UTERINO SOD,Cirugía,PDSS 10.0,1
252.69.0.1.01,LEGRADO UTERINO GINECOLOGICO DIAGNOSTICO +,Cirugía,PDSS 10.0,1
253.70.1.4.20,DRENAJE DE COLECCION DE FONDO DE SACO (CUPULA VAGINAL) +,Cirugía,PDSS 10.0,1
254.70.5.1.10,COLPORRAFIA ANTERIOR CON PLASTIA O REPARACION DE URETROCELE,Cirugía,PDSS 10.0,1
255.70.5.2.10,COLPORRAFIA POSTERIOR,Cirugía,PDSS 10.0,1
256.70.5.3.01,COLPORRAFIA ANTERIOR Y POSTERIOR,Cirugía,PDSS 10.0,1
257.70.5.3.02,COLPORRAFIA ANTERIOR Y POSTERIOR CON REPARACION DE ENTEROCELE,Cirugía,PDSS 10.0,1
258.70.7.3.00,CORRECCION DE FISTULA RECTO-VAGINAL Y/O PERINEAL SOD +,Cirugía,PDSS 10.0,1
260.70.7.5.10,CIERRE DE FISTULA URETROVAGINAL O VESICO VAGINAL SOD,Cirugía,PDSS 10.0,1
261.71.0.9.21,INCISION Y DRENAJE DE COLECCION DE VULVA O DE GLANDULA DE SKENE,Cirugía,PDSS 10.0,1
262.71.2.1.00,ASPIRACION CON AGUJA DE LAS GLANDULAS DE BARTHOLIN (QUISTE) SOD,Cirugía,PDSS 10.0,1
263.71.2.2.00,INCISION Y DRENAJE DE LA GLANDULA DE BARTHOLIN (QUISTE) SOD,Cirugía,PDSS 10.0,1
264.71.3.4.00,RESECCION DE ENDOMETRIOMA PERINEAL SOD,Cirugía,PDSS 10.0,1
265.71.3.5.00,RESECCION GRANULOMA VULVO-PERINEAL SOD,Cirugía,PDSS 10.0,1
266.73.5.9.10,ASISTENCIA DEL PARTO ESPONTANEO NORMAL (EXPULSIVO),Cirugía,PDSS 10.0,1
267.74.0.1.00,CESAREA SEGMENTARIA TRANSPERITONEAL SOD +,Partos,PDSS 10.0,1
268.74.0.2.00,CESAREA CORPORAL SOD +,Cirugía,PDSS 10.0,1
269.75.0.1.01,LEGRADO UTERINO OBSTETRICO POSTPARTO O POSTABORTO POR DILATACION Y CURETAJE +,Cirugía,PDSS 10.0,1
270.75.9.1.01,DRENAJE DE COLECCION OBSTETRICA (DE EPISIOTOMIA O EPISIO-RRAFIA) EN PERINE POR INCISION,Cirugía,PDSS 10.0,1
274.76.1.2.01,ARTROCENTESIS DIAGNOSTICA DE ARTICULACION TEMPOROMANDIBULAR,Cirugía,PDSS 10.0,1
275.76.7.6.01,"REDUCCION ABIERTA DE FRACTURA DE CONDILO, CON FIJACION INTERNA [DISPOSITIVOS DE FIJACION U OSTEOSINTESIS] +",Atenciones de Alto Costo y de Máximo Nivel de Complejidad,PDSS 10.0,1
276.76.8.3.01,REDUCCION CERRADA DE LUXACION ARTICULACION TEMPORO MANDIBULAR,Cirugía,PDSS 10.0,1
277.76.8.6.00,INYECCION DE SUSTANCIA TERAPEUTICA EN ARTICULACION TEMPOROMANDIBULAR SOD,Cirugía,PDSS 10.0,1
